City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Description
248,Gbarnga,LR,6.9956,-9.4722,97.21,23,7,3.27,clear sky
249,Port Blair,IN,11.6667,92.75,80.64,83,40,5.75,mist
250,Turukhansk,RU,65.8167,87.9833,-7.26,99,96,4.9,overcast clouds
251,Okato,NZ,-39.2,173.8833,68.92,97,100,13.94,moderate rain
252,Jaciara,BR,-15.9653,-54.9683,86.81,63,67,4.74,broken clouds
253,Singleton,AU,-32.5667,151.1833,70.5,97,43,3.69,scattered clouds
254,Vitre,FR,48.1178,-1.2058,49.08,73,46,8.84,scattered clouds
255,Richards Bay,ZA,-28.783,32.0377,72.82,84,99,10.45,light rain
256,Serebryanyy Bor,RU,56.8,124.8,-19.57,100,100,3.44,overcast clouds
257,Kawalu,ID,-7.3817,108.2082,74.14,94,100,1.86,light rain
258,Haines Junction,CA,60.7522,-137.5108,1.35,85,100,4.61,overcast clouds
259,Yeppoon,AU,-23.1333,150.7333,73.18,70,21,18.88,few clouds
260,Tautira,PF,-17.7333,-149.15,75.22,74,29,15.59,scattered clouds
261,Wiesmoor,DE,53.4167,7.7333,43.9,78,97,22.7,overcast clouds
262,Itoman,JP,26.1247,127.6694,59.02,58,100,18.41,overcast clouds
263,Lakes Entrance,AU,-37.8811,147.981,54.16,85,15,7.14,few clouds
264,Bubaque,GW,11.2833,-15.8333,79.27,60,0,13.8,clear sky
265,Nata,PA,8.3333,-80.5167,89.47,36,47,16.82,scattered clouds
266,Ko Samui,TH,9.5357,99.9357,81.73,73,27,10.36,scattered clouds
267,Abrau-Dyurso,RU,44.69,37.59,33.26,71,27,6.64,scattered clouds
268,Beyneu,KZ,45.3167,55.2,35.2,92,100,18.7,overcast clouds
269,Sechura,PE,-5.5569,-80.8222,81.9,53,67,7.61,broken clouds
270,Millinocket,US,45.6573,-68.7098,19.9,73,75,4.61,broken clouds
271,Kailua,US,21.4022,-157.7394,68.07,96,2,1.01,clear sky
272,Chau Doc,VN,10.7,105.1167,73.96,81,86,2.21,overcast clouds
273,Anadyr,RU,64.75,177.4833,-22.45,96,4,3.44,clear sky
274,Lokosovo,RU,61.1333,74.8167,12.51,94,100,4.9,overcast clouds
275,Marawi,PH,7.9986,124.2928,70.65,93,30,2.24,scattered clouds
276,Chandbali,IN,20.7833,86.7667,66.27,49,63,3.42,broken clouds
277,Aanekoski,FI,62.6946,25.818,24.87,100,100,7.18,overcast clouds
278,Kahului,US,20.8947,-156.47,74.84,79,20,5.75,few clouds
279,Pathein,MM,16.7833,94.7333,72.09,91,8,6.08,clear sky
280,Awbari,LY,26.5921,12.7805,60.28,22,1,9.13,clear sky
281,Shenjiamen,CN,29.9576,122.298,38.95,63,5,15.39,clear sky
282,Naryan-Mar,RU,67.6713,53.087,-7.69,98,83,9.57,broken clouds
283,Khirkiya,IN,22.1674,76.8605,65.05,23,0,4.9,clear sky
284,Balkanabat,TM,39.5108,54.3671,43.36,80,98,15.9,overcast clouds
285,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,79.7,76,100,1.77,overcast clouds
286,Namatanai,PG,-3.6667,152.4333,79.95,80,81,8.14,broken clouds
287,Roald,NO,62.5833,6.1333,41.14,60,40,16.11,scattered clouds
288,Sungaipenuh,ID,-2.0833,101.3833,64.89,100,100,1.66,overcast clouds
289,Kavieng,PG,-2.5744,150.7967,80.71,79,85,4.99,light rain
290,Istra,RU,55.9178,36.8642,15.94,100,92,5.06,overcast clouds
291,Buala,SB,-8.145,159.5921,80.78,84,91,7.27,overcast clouds
292,Lagos,NG,6.5833,3.75,93.52,48,2,8.48,clear sky
293,Ketchikan,US,55.3422,-131.6461,42.78,97,100,7.67,light rain
294,Marsa Matruh,EG,31.3525,27.2453,59.2,47,40,9.22,scattered clouds
295,Guerrero Negro,MX,27.9769,-114.0611,61.59,30,0,3.71,clear sky
296,San Quintin,MX,30.4833,-115.95,60.24,26,0,2.35,clear sky
297,Chifeng,CN,42.2683,118.9636,7.05,75,0,4.65,clear sky
298,Anloga,GH,5.7947,0.8973,88.02,73,2,13.87,clear sky
299,Jiuquan,CN,39.7432,98.5174,17.64,40,100,8.72,overcast clouds
300,Zhigansk,RU,66.7697,123.3711,-29.88,100,100,6.33,overcast clouds
301,Olavarria,AR,-36.8927,-60.3225,63.01,91,100,15.21,overcast clouds
302,Pushkinskiye Gory,RU,57.0209,28.9103,27.0,97,100,7.72,snow
303,Grimshaw,CA,56.1834,-117.6027,2.82,85,100,9.22,light snow
304,Moron,AR,-34.6534,-58.6198,71.01,69,92,9.62,overcast clouds
305,Honiara,SB,-9.4333,159.95,79.47,88,94,2.51,overcast clouds
306,Kruisfontein,ZA,-34.0033,24.7314,68.88,75,89,20.45,overcast clouds
307,Hasaki,JP,35.7333,140.8333,27.0,35,65,8.7,broken clouds
308,Port Moresby,PG,-9.4431,147.1797,76.23,86,100,8.1,overcast clouds
309,Trairi,BR,-3.2778,-39.2689,85.23,64,51,12.3,broken clouds
310,Ucluelet,CA,48.9329,-125.5528,43.09,92,100,3.18,overcast clouds
311,Souillac,MU,-20.5167,57.5167,80.98,83,40,16.11,light rain
312,Jieshi,CN,22.8134,115.8257,57.94,78,98,18.16,overcast clouds
313,Patnos,TR,39.2336,42.8634,1.92,81,12,4.07,few clouds
314,Cururupu,BR,-1.8283,-44.8683,83.8,65,99,4.56,light rain
315,Bilibino,RU,68.0546,166.4372,-14.01,94,11,4.85,few clouds
316,Kavaratti,IN,10.5669,72.642,78.98,61,39,11.36,scattered clouds
317,Wielun,PL,51.221,18.5696,36.9,71,50,14.83,scattered clouds
318,Belaya Gora,RU,68.5333,146.4167,-39.69,100,92,1.3,overcast clouds
319,Saint-Louis,SN,16.3333,-15.0,96.4,5,0,9.64,clear sky
320,Salym,RU,60.0625,71.4789,20.03,97,100,4.0,overcast clouds
321,Faya,SA,18.3851,42.4509,60.91,75,7,4.68,clear sky
322,Saint Albans,GB,51.75,-0.3333,50.16,77,40,21.85,scattered clouds
323,Yarmouth,US,41.7057,-70.2286,27.1,80,100,13.8,overcast clouds
324,Constitucion,CL,-35.3333,-72.4167,72.37,53,0,15.28,clear sky
325,Portland,US,45.5234,-122.6762,45.63,94,98,1.01,overcast clouds
326,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,16.39,67,0,8.95,clear sky
327,Tamandare,BR,-8.7597,-35.1047,84.27,59,78,9.93,broken clouds
328,Sola,VU,-13.8833,167.55,82.24,76,100,20.13,overcast clouds
329,Longyearbyen,SJ,78.2186,15.6401,10.24,61,20,24.16,few clouds
330,Antigonish,CA,45.6169,-61.9986,30.04,94,100,14.43,light snow
331,Saint-Augustin,CA,51.226,-58.6502,4.91,93,100,16.17,light snow
332,Tartagal,AR,-22.5164,-63.8013,77.92,70,97,7.74,light rain
333,Miles City,US,46.4083,-105.8406,43.52,61,49,20.51,scattered clouds
334,Maumere,ID,-8.6199,122.2111,79.38,82,64,8.08,broken clouds
335,Samana,DO,19.2056,-69.3369,77.22,88,40,11.5,scattered clouds
336,Superior,US,46.7208,-92.1041,11.01,80,100,5.75,light snow
337,Marsh Harbour,BS,26.5412,-77.0636,73.87,59,0,2.86,clear sky
338,Klamath Falls,US,42.2249,-121.7817,34.88,73,0,0.0,clear sky
339,Barahona,DO,18.2085,-71.1008,84.02,65,20,6.91,few clouds
340,Chuy,UY,-33.6971,-53.4616,83.12,50,83,8.52,broken clouds
341,Ilulissat,GL,69.2167,-51.1,-1.19,77,100,8.05,overcast clouds
342,Oparino,RU,59.8518,48.2783,9.54,96,91,7.31,overcast clouds
343,Mehamn,NO,71.0357,27.8492,21.42,87,66,18.48,broken clouds
344,Dingle,PH,10.9995,122.6711,74.86,82,37,11.36,scattered clouds
